"id","parent_id","name","data"
"19","17","Other","{""id"":""19"",""ordinal"":""2"",""name"":""Other"",""display_name"":"""",""created_at"":""2017-03-22 15:00:39"",""updated_at"":""2019-06-04 17:17:40"",""code"":""apparel & footwear > boys > costumes > other"",""parent_id"":""17"",""logistic_class_code"":""SLW"",""parent_code"":""apparel & footwear > boys > costumes"",""level"":""4"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""1"",""level2"":""2"",""level3"":""17"",""level4"":""19"",""level5"":"""",""level6"":"""",""level7"":"""",""level8"":""""}"
"108","105","Cardigans","{""id"":""108"",""ordinal"":""3"",""name"":""Cardigans"",""display_name"":"""",""created_at"":""2017-03-22 15:00:39"",""updated_at"":""2019-06-04 17:17:41"",""code"":""apparel & footwear > girls > school uniforms > cardigans"",""parent_id"":""105"",""logistic_class_code"":""SLW"",""parent_code"":""apparel & footwear > girls > school uniforms"",""level"":""4"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""1"",""level2"":""66"",""level3"":""105"",""level4"":""108"",""level5"":"""",""level6"":"""",""level7"":"""",""level8"":""""}"
"122","119","Pyjama Bottoms","{""id"":""122"",""ordinal"":""3"",""name"":""Pyjama Bottoms"",""display_name"":"""",""created_at"":""2017-03-22 15:00:39"",""updated_at"":""2019-06-04 17:17:41"",""code"":""apparel & footwear > girls > sleepwear & robes > pyjama bottoms"",""parent_id"":""119"",""logistic_class_code"":"""",""parent_code"":""apparel & footwear > girls > sleepwear & robes"",""level"":""4"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""1"",""level2"":""66"",""level3"":""119"",""level4"":""122"",""level5"":"""",""level6"":"""",""level7"":"""",""level8"":""""}"
"208","200","Vests","{""id"":""208"",""ordinal"":""8"",""name"":""Vests"",""display_name"":"""",""created_at"":""2017-03-22 15:00:40"",""updated_at"":""2019-06-04 17:17:42"",""code"":""apparel & footwear > men's > work & safety > apparel > vests"",""parent_id"":""200"",""logistic_class_code"":""SLW"",""parent_code"":""apparel & footwear > men's > work & safety > apparel"",""level"":""5"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""1"",""level2"":""141"",""level3"":""199"",""level4"":""200"",""level5"":""208"",""level6"":"""",""level7"":"""",""level8"":""""}"
"232","216","Vests","{""id"":""232"",""ordinal"":""16"",""name"":""Vests"",""display_name"":"""",""created_at"":""2017-03-22 15:00:40"",""updated_at"":""2019-06-04 17:17:42"",""code"":""apparel & footwear > women's > apparel > vests"",""parent_id"":""216"",""logistic_class_code"":""SLW"",""parent_code"":""apparel & footwear > women's > apparel"",""level"":""4"",""leaf"":""true"",""expected_variant_count"":""4"",""level1"":""1"",""level2"":""215"",""level3"":""216"",""level4"":""232"",""level5"":"""",""level6"":"""",""level7"":"""",""level8"":""""}"
"2448","2443","Sports Watches","{""id"":""2448"",""ordinal"":""5"",""name"":""Sports Watches"",""display_name"":"""",""created_at"":""2017-03-22 15:00:53"",""updated_at"":""2019-06-04 17:18:08"",""code"":""jewellery & accessories > men's > accessories > watches > sports watches"",""parent_id"":""2443"",""logistic_class_code"":""SLW"",""parent_code"":""jewellery & accessories > men's > accessories > watches"",""level"":""5"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""2267"",""level2"":""2402"",""level3"":""2403"",""level4"":""2443"",""level5"":""2448"",""level6"":"""",""level7"":"""",""level8"":""""}"
"3912","3787","Tanks/Tops","{""id"":""3912"",""ordinal"":""6"",""name"":""Tanks/Tops"",""display_name"":"""",""created_at"":""2017-10-19 16:24:08"",""updated_at"":""2019-06-04 17:18:29"",""code"":""sports & outdoors > apparel > mens > rugby > tanks/tops"",""parent_id"":""3787"",""logistic_class_code"":""SLW"",""parent_code"":""sports & outdoors > apparel > mens > rugby"",""level"":""5"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""2741"",""level2"":""3768"",""level3"":""3770"",""level4"":""3787"",""level5"":""3912"",""level6"":"""",""level7"":"""",""level8"":""""}"
"4141","4091","Shorts","{""id"":""4141"",""ordinal"":""6"",""name"":""Shorts"",""display_name"":"""",""created_at"":""2018-10-02 17:02:21"",""updated_at"":""2019-06-04 17:18:33"",""code"":""sports & outdoors > apparel > girls > afl > shorts"",""parent_id"":""4091"",""logistic_class_code"":""SLW"",""parent_code"":""sports & outdoors > apparel > girls > afl"",""level"":""5"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""2741"",""level2"":""3768"",""level3"":""4078"",""level4"":""4091"",""level5"":""4141"",""level6"":"""",""level7"":"""",""level8"":""""}"
"4207","4095","Long Sleeve Tops","{""id"":""4207"",""ordinal"":""4"",""name"":""Long Sleeve Tops"",""display_name"":"""",""created_at"":""2018-10-02 17:15:29"",""updated_at"":""2019-06-04 17:18:35"",""code"":""sports & outdoors > apparel > girls > golf > long sleeve tops"",""parent_id"":""4095"",""logistic_class_code"":""SLW"",""parent_code"":""sports & outdoors > apparel > girls > golf"",""level"":""5"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""2741"",""level2"":""3768"",""level3"":""4078"",""level4"":""4095"",""level5"":""4207"",""level6"":"""",""level7"":"""",""level8"":""""}"
"4298","4296","Bottoms","{""id"":""4298"",""ordinal"":""2"",""name"":""Bottoms"",""display_name"":"""",""created_at"":""2018-10-02 17:43:21"",""updated_at"":""2019-06-04 17:18:35"",""code"":""sports & outdoors > apparel > mens > dancewear > bottoms"",""parent_id"":""4296"",""logistic_class_code"":""SLW"",""parent_code"":""sports & outdoors > apparel > mens > dancewear"",""level"":""5"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""2741"",""level2"":""3768"",""level3"":""3770"",""level4"":""4296"",""level5"":""4298"",""level6"":"""",""level7"":"""",""level8"":""""}"
"4427","4425","Cross-Body Bags","{""id"":""4427"",""ordinal"":""2"",""name"":""Cross-Body Bags"",""display_name"":"""",""created_at"":""2019-05-07 10:04:26"",""updated_at"":""2019-06-04 17:18:37"",""code"":""jewellery & accessories > unisex > adult > bags > cross-body bags"",""parent_id"":""4425"",""logistic_class_code"":""SLW"",""parent_code"":""jewellery & accessories > unisex > adult > bags"",""level"":""5"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""2267"",""level2"":""4422"",""level3"":""4423"",""level4"":""4425"",""level5"":""4427"",""level6"":"""",""level7"":"""",""level8"":""""}"
"4443","4441","Pants & Capris","{""id"":""4443"",""ordinal"":""1"",""name"":""Pants & Capris"",""display_name"":"""",""created_at"":""2019-05-07 11:11:35"",""updated_at"":""2019-06-04 17:18:37"",""code"":""apparel & footwear > unisex > kids > apparel > pants & capris"",""parent_id"":""4441"",""logistic_class_code"":""SLW"",""parent_code"":""apparel & footwear > unisex > kids > apparel"",""level"":""5"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""1"",""level2"":""4393"",""level3"":""4396"",""level4"":""4441"",""level5"":""4443"",""level6"":"""",""level7"":"""",""level8"":""""}"
"4452","4442","Boots","{""id"":""4452"",""ordinal"":""1"",""name"":""Boots"",""display_name"":"""",""created_at"":""2019-05-07 11:24:56"",""updated_at"":""2019-06-04 17:18:37"",""code"":""apparel & footwear > unisex > kids > footwear > boots"",""parent_id"":""4442"",""logistic_class_code"":""SLW"",""parent_code"":""apparel & footwear > unisex > kids > footwear"",""level"":""5"",""leaf"":""true"",""expected_variant_count"":"""",""level1"":""1"",""level2"":""4393"",""level3"":""4396"",""level4"":""4442"",""level5"":""4452"",""level6"":"""",""level7"":"""",""level8"":""""}"
"263","215","Other","{""id"":""263"",""ordinal"":""6"",""name"":""Other"",""display_name"":"""",""created_at"":""2017-03-22 15:00:40"",""updated_at"":""2019-06-04 17:17:42"",""code"":""apparel & footwear > women's > other"",""parent_id"":""215"",""logistic_class_code"":""SLW"",""parent_code"":""apparel & footwear > women's"",""level"":""3"",""leaf"":""true"",""expected_variant_count"":""5"",""level1"":""1"",""level2"":""215"",""level3"":""263"",""level4"":"""",""level5"":"""",""level6"":"""",""level7"":"""",""level8"":""""}"
