variation_id,item_id,item_name,image_url,metadata:adult,facet:adult,facet:personalised_product,facet:has_dangerous_goods,facet:sensitive,facet:age_restricted,facet:average_rating,url,facet:gender,facet:flash_sale_item,facet:material,facet:core,facet:model_number,facet:season,facet:womens_footwear_size,facet:colour,facet:dangerous_goods,facet:combination,facet:event_keyword,facet:mens_footwear_size,facet:womens_pants_shorts_jeans_underwear_size,facet:bedding_size,facet:capacity/volume
487654,7694,Pjur Original Bodyglide Lubricant - 100ml,https://s.catch.com.au/images/product/7694/5120b46e95900530883555.jpg,true,true,"","",true,"",3.8,https://www.catch.com.au/product/7694/?offer_id=103977916,"",No,"",No,1073880001,"","","",No,"","","","","",""
40898,22638,Christian Dior Dune For Her EDT 100mL,https://s.catch.com.au/images/product/22638/5120d8e324b3d573417316.jpg,"","","","","","",4.8,https://www.catch.com.au/product/22638/?offer_id=93015382,Female,No,"",No,9003000,Cross Seasonal,"","",No,Single,"","","","",""
116298,56950,Ed Hardy for Women 100ml EDP,https://s.catch.com.au/images/product/56950/5121e8cbb3311169211780.jpg,"","","","","","",4.9,https://www.catch.com.au/product/56950/?offer_id=93148070,"",No,"",No,"","","","",No,"","","","","",""
723526,56966,Princess by Vera Wang For Women EDT 100mL,https://s.catch.com.au/images/product/0000/0174/570dd2a869d50612746013.jpg,"","","",true,"","",4.8,https://www.catch.com.au/product/56966/?offer_id=94982883,Female,No,"",No,"","","","",Yes,Single,"","","","",""
187654,89354,Sex & Mischief Satin Blindfold,https://s.catch.com.au/images/product/89354/512229d2e56ba275068858.jpg,true,true,"","",true,"",5.0,https://www.catch.com.au/product/89354/?offer_id=94809088,"",No,"",No,1705720002,"","","",No,"","","","","",""
187654,89354,Sex & Mischief Satin Blindfold,https://s.catch.com.au/images/product/89354/512229d2e56ba275068858.jpg,true,true,"","",true,"",5.0,https://www.catch.com.au/product/89354/?offer_id=101039050,"",No,"",No,1705720002,"","","",No,"","","","","",""
723342,105494,Guess Seductive I m Yours For Women EDT 75mL,https://s.catch.com.au/images/product/105494/527328481a4f8033377351.jpg,"","","","","","",4.5,https://www.catch.com.au/product/105494/?offer_id=105489679,"",No,"",No,"","","","",No,"","","","","",""
222838,110986,Allambee Ikat Style Throw - Honey,https://s.catch.com.au/images/product/110986/517492a774b53161518340.jpg,"","","","","","",5.0,https://www.catch.com.au/product/110986/?offer_id=103021971,"",No,"",No, 1021010014457,"","",Multi,No,Single,"","","","",""
650518,128174,Tommee Tippee Medium Flow Teats 2-Pack,https://s.catch.com.au/images/product/128174/52d8820810cb5642846790.jpg,"","","","","","",4.9,https://www.catch.com.au/product/128174/?offer_id=78223846,Unisex,No,Plastic Bpa Free,No,"",Cross Seasonal,"",Multi,No,Multipack,"","","","",""
302042,160346,Ferrero Rocher 30-Piece Gift Pack 375g,https://s.catch.com.au/images/product/0037/37775/5f9a0e6e571a8401007960.jpg,"","","","","","",4.8,https://www.catch.com.au/product/160346/?offer_id=95938237,"",No,"",No,8000500012499,"","","",No,"","","","","",""
